ESTC,NDEP,RENDA,TIPOR,VBEM,NPARC,VPARC,TEL,IDADE,RESMS,ENTRADA,CLASSE
0,0,3190,1,429,10,60,0,62,6,0,0
1,0,2000,0,486,3,177,0,43,48,0,1
0,0,1500,1,449,5,108,0,29,6,0,0
0,3,1200,1,506,6,109,0,47,6,0,0
0,0,4917,1,1645,12,220,0,66,6,0,0
0,0,971,0,300,6,56,1,65,120,50,0
1,0,1013,1,323,6,69,0,41,6,0,1
0,0,2190,1,399,6,91,1,42,96,0,0
0,0,350,0,548,10,83,0,42,48,0,1
0,0,478,0,580,9,95,0,24,0,0,1
1,0,320,1,309,5,76,0,39,120,0,0
0,0,550,0,546,9,94,0,27,0,0,1
3,0,800,0,632,12,78,1,37,36,78,1
1,0,1886,1,560,6,119,0,35,6,0,0
1,0,400,0,700,12,95,1,25,96,0,1
1,0,550,1,399,10,55,0,30,6,0,0
1,0,1500,0,552,4,119,0,61,48,119,0
0,0,580,1,453,10,69,0,39,6,0,0
0,0,446,1,348,10,51,0,40,6,0,0
3,0,490,0,599,10,91,0,53,0,0,1
0,0,800,1,597,9,97,0,39,6,0,0
0,0,750,1,849,10,117,0,31,6,0,0
0,4,368,1,473,9,77,0,49,6,0,0
0,0,600,1,492,6,84,0,38,6,100,0
0,0,302,1,484,6,53,1,26,0,250,0
0,1,1200,1,1149,10,158,0,42,6,0,0
3,0,4023,0,552,4,119,0,66,48,119,0
1,0,610,0,725,10,110,0,34,0,0,1
0,0,350,1,470,12,65,0,28,144,0,1
0,0,300,1,578,10,76,0,40,6,0,0
1,0,620,1,427,10,65,0,22,6,0,1
1,0,1299,0,528,3,196,0,24,48,0,1
1,0,420,0,459,4,105,0,27,36,105,1
1,0,500,0,552,4,119,0,61,48,119,0
0,0,1548,1,339,6,73,0,63,6,0,0
0,0,1000,1,618,10,89,0,31,6,0,0
0,0,1200,0,458,10,71,0,52,12,0,1
1,0,420,0,590,12,80,0,27,120,0,1
1,0,500,0,451,7,85,0,63,48,0,0
0,3,1500,1,450,9,74,0,26,6,0,0
0,0,2000,0,699,18,76,0,62,6,0,1
0,0,300,0,455,12,63,1,48,120,0,1
1,0,2000,1,480,10,67,0,40,6,0,0
1,0,450,1,358,9,55,0,41,6,23,1
0,0,1575,0,529,6,111,0,58,48,0,0
0,0,350,0,398,10,61,0,37,0,0,1
0,0,600,1,550,12,74,0,36,6,0,0
1,0,400,0,350,5,86,0,20,12,0,1
1,0,560,1,376,10,55,0,29,6,0,0
1,0,2000,1,360,10,55,0,38,6,0,1
2,0,346,1,580,5,68,1,52,24,300,0
1,0,500,0,455,9,74,0,26,48,0,1
1,0,368,0,704,9,79,0,43,48,0,1
0,0,360,0,519,15,64,0,33,228,0,1
1,0,819,1,558,24,54,0,40,6,0,0
0,0,1000,0,400,2,141,0,63,0,141,0
0,0,1200,1,489,12,66,0,30,6,0,1
1,0,300,0,398,10,61,1,21,72,0,1
0,0,1099,0,552,4,119,0,65,48,119,0
1,0,300,0,439,12,60,0,26,0,0,1
0,0,513,1,537,10,78,0,40,6,0,0
1,0,1034,1,429,10,60,0,60,6,0,0
0,0,493,0,443,12,60,0,54,0,0,1
0,0,1000,1,463,6,99,0,33,6,0,1
0,1,530,0,360,10,55,0,57,6,0,0
0,0,800,0,491,2,166,0,58,48,166,0
0,0,492,0,833,11,96,0,36,48,96,1
0,0,670,0,541,8,82,0,24,24,82,1
1,0,950,0,844,12,115,0,29,15,0,1
0,0,1100,0,694,12,94,0,37,60,0,1
0,0,1922,0,552,4,119,0,61,48,119,0
1,0,444,1,480,10,53,0,52,6,100,0
1,0,500,1,389,6,56,0,34,6,129,0
0,0,700,0,637,3,174,0,25,48,174,0
0,0,778,0,640,10,97,1,53,360,0,1
1,0,650,1,860,10,130,0,29,6,0,1
1,0,800,0,457,15,57,1,63,0,0,0
1,0,337,0,341,6,58,0,26,48,0,1
3,0,330,1,445,10,68,1,51,0,0,0
2,0,760,0,498,4,151,0,55,0,0,0
0,0,1152,1,495,2,269,0,50,6,0,0
0,0,300,1,368,6,62,0,40,6,80,0
0,0,2615,0,459,2,162,0,64,48,162,0
0,0,810,0,496,2,167,0,61,0,167,0
0,2,3000,1,405,6,87,0,49,6,0,0
0,0,400,0,478,10,74,0,45,0,0,1
1,0,300,0,398,12,54,0,21,0,0,1
0,1,1500,1,460,3,154,0,41,6,50,0
0,0,430,0,422,10,64,0,36,0,0,1
0,0,992,1,399,12,54,0,49,6,0,0
1,0,1233,0,555,3,139,0,59,0,139,0
0,0,520,0,473,6,80,0,54,0,0,0
0,1,541,1,577,10,87,0,44,6,0,0
1,0,697,0,438,15,55,1,36,24,0,1
0,0,1900,0,1598,6,355,0,41,0,0,1
1,0,546,0,474,10,72,0,34,240,0,1
0,1,305,1,349,10,53,0,38,6,0,0
0,2,300,1,420,10,58,0,36,6,0,0
3,0,1004,1,879,10,134,0,40,0,0,0
3,0,409,0,705,15,87,1,48,360,0,1
1,0,350,0,395,10,60,0,23,0,0,1
1,0,1324,0,349,3,130,0,62,48,0,0
0,0,1235,0,763,4,154,0,57,0,154,0
0,0,390,0,428,8,73,0,62,48,0,0
0,0,1600,0,716,10,109,1,46,36,0,1
1,0,1200,0,695,12,98,1,63,14,0,1
3,0,300,0,407,9,58,0,38,60,50,1
0,0,1632,0,2499,18,230,0,64,48,350,0
1,0,600,1,849,10,117,0,55,6,0,0
1,0,700,0,676,12,93,0,53,0,0,1
1,0,560,0,924,19,87,0,38,132,150,1
0,0,1200,1,747,10,103,0,30,6,0,1
0,0,980,1,661,12,89,0,41,6,0,0
0,0,3500,1,558,10,73,0,34,6,0,0
0,2,1500,0,980,10,95,0,28,6,350,1
0,0,1123,1,1059,10,145,0,36,6,0,0
0,0,500,1,599,9,97,0,30,6,0,0
0,2,740,1,480,10,67,0,34,6,0,1
0,0,600,1,329,6,72,0,35,6,0,0
2,0,662,1,522,6,87,0,66,359,0,0
0,0,401,1,469,5,90,0,42,24,100,0
0,2,411,1,468,10,65,0,30,6,0,0
3,0,650,0,959,12,111,0,40,48,59,1
0,0,616,0,302,6,67,0,55,0,0,0
1,0,600,0,399,6,88,0,23,48,0,1
0,0,795,0,334,5,68,0,59,0,0,1
0,0,1800,0,604,10,92,1,27,15,0,1
1,0,1560,0,1601,10,243,1,34,72,0,1
0,0,1500,1,468,10,65,0,48,6,0,0
1,0,1800,0,563,3,209,0,28,48,0,1
1,0,600,0,359,2,122,0,61,48,122,0
0,2,389,0,362,10,55,0,38,36,0,1
1,0,2000,1,483,10,73,0,27,6,0,0
0,0,400,1,329,9,54,0,26,6,0,0
1,0,552,0,700,12,96,0,33,24,0,1
0,0,321,1,330,6,74,1,39,0,0,0
1,0,488,0,307,6,52,0,58,48,0,0
0,0,2500,0,3017,10,302,0,38,0,0,1
1,0,300,0,804,9,75,0,29,48,140,1
1,0,700,0,618,6,140,0,33,144,0,0
1,0,371,0,341,6,58,0,26,48,0,1
1,0,319,0,559,6,77,0,60,48,100,0
0,0,1000,1,840,4,159,1,49,216,300,0
1,0,1419,0,1002,12,127,0,28,48,0,1
0,0,1000,1,678,10,93,0,39,6,0,0
1,0,800,1,929,6,197,0,43,6,0,0
0,0,450,1,525,9,86,0,26,6,0,0
1,0,1350,0,442,2,241,1,59,0,0,0
0,0,938,1,525,10,76,0,30,6,0,0
0,0,1500,0,569,11,66,0,33,24,66,1
0,0,377,0,561,12,77,0,64,120,0,1
1,0,450,1,459,10,70,0,27,6,0,0
1,0,500,0,552,4,119,0,61,48,119,0
1,0,351,0,330,10,50,0,23,17,0,1
0,0,2600,0,4000,12,467,0,34,0,0,1
2,0,6158,0,552,4,119,0,64,48,119,0
0,0,500,0,421,10,64,1,30,3,0,1
0,0,700,1,430,9,70,0,30,6,0,0
1,0,400,0,440,12,60,1,24,120,0,1
3,0,340,0,477,12,65,0,33,0,0,1
0,0,350,1,540,10,82,0,31,6,0,0
1,0,3000,0,360,1,376,0,43,48,0,1
1,0,1200,0,466,10,74,1,38,12,0,1
0,0,1800,0,901,12,122,0,35,0,0,1
0,0,1500,1,537,10,78,0,41,6,0,0
0,0,575,0,433,1,146,0,62,0,290,0
0,0,1400,1,650,12,88,0,36,6,0,0
0,0,404,0,480,10,67,0,41,6,0,1
1,0,1697,0,552,4,119,0,68,48,119,1
1,0,630,1,433,10,66,0,29,6,0,0
2,0,1500,0,552,4,119,0,58,48,119,0
1,0,870,0,355,6,79,0,27,144,0,1
0,0,320,0,501,12,72,0,29,180,0,1
1,0,688,1,348,10,51,0,60,6,0,0
1,0,1500,1,468,10,68,0,45,6,0,0
0,2,600,1,420,10,58,0,22,6,0,1
1,0,2000,1,400,9,66,0,52,6,0,0
0,0,550,0,356,3,133,1,27,17,0,1
0,0,400,0,489,12,67,1,27,36,0,1
1,0,360,1,638,9,104,0,66,6,0,0
0,0,337,1,443,12,60,1,51,0,0,0
0,0,3000,0,756,9,123,1,58,300,0,1
0,0,450,1,399,10,55,0,37,6,0,0
1,0,500,0,552,4,119,0,62,48,119,0
1,0,620,0,813,12,68,0,26,48,0,1
3,0,1048,0,552,4,119,0,60,48,119,0
0,0,1526,0,718,6,123,0,63,48,123,0
0,4,501,1,849,10,117,0,37,6,0,0
3,0,865,0,426,12,58,1,56,0,0,0
0,0,2000,0,1167,2,391,0,63,0,391,0
1,0,520,1,849,10,117,0,26,6,0,0
1,0,800,0,706,15,87,0,25,0,0,1
1,0,1761,0,449,2,243,0,23,48,0,1
0,0,2025,1,639,10,88,0,33,6,0,0
2,0,4005,0,518,3,142,0,67,48,142,0
0,0,6373,0,548,3,149,0,59,48,149,0
